log_file,Device,second,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,f/s,f_await,aqu-sz,%util
io1.log,sdc,2,560.0,10212.0,0.0,0.0,1.41,18.24,1115.0,37764.0,629.0,36.07,1.66,33.87,1.0,3160.0,1.0,50.0,0.0,3160.0,500.0,2.56,3.92,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,3.0,28.0,4.0,57.14,1.33,9.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
io1.log,sdc,2,551.0,9956.0,0.0,0.0,1.38,18.07,1122.0,39500.0,640.0,36.32,1.61,35.2,1.0,372.0,0.0,0.0,0.0,372.0,494.0,2.5,3.8,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,3.0,24.0,3.0,50.0,1.33,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
io1.log,sdc,2,520.0,9436.0,0.0,0.0,1.56,18.15,1053.0,36140.0,637.0,37.69,1.81,34.32,2.0,3340.0,1.0,33.33,0.0,1670.0,486.0,2.62,3.99,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,10.0,90.91,2.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
io1.log,sdc,2,445.0,8016.0,0.0,0.0,1.54,18.01,958.0,33940.0,584.0,37.87,1.76,35.43,1.0,372.0,0.0,0.0,0.0,372.0,437.0,2.73,3.56,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,1.0,32.0,7.0,87.5,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
io1.log,sdc,2,536.0,9564.0,0.0,0.0,1.41,17.84,1023.0,34560.0,610.0,37.35,1.93,33.78,2.0,104.0,0.0,0.0,1.5,52.0,476.0,2.74,4.04,99.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,1.0,4.0,0.0,0.0,2.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
io1.log,sdc,2,481.0,8320.0,0.0,0.0,1.55,17.3,993.0,40184.0,562.0,36.14,1.89,40.47,0.0,0.0,0.0,0.0,0.0,0.0,443.0,2.9,3.91,101.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,2.0,24.0,4.0,66.67,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
io1.log,sdc,2,431.0,7804.0,0.0,0.0,2.44,18.11,663.0,23732.0,458.0,40.86,2.08,35.79,0.0,0.0,0.0,0.0,0.0,0.0,309.0,3.49,3.5,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,1.0,16.0,3.0,75.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
io1.log,sdc,2,171.0,3008.0,0.0,0.0,5.55,17.59,331.0,11936.0,230.0,41.0,5.05,36.06,0.0,0.0,0.0,0.0,0.0,0.0,145.0,8.05,3.79,99.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdc,2,222.0,3964.0,0.0,0.0,6.07,17.86,334.0,12012.0,252.0,43.0,4.63,35.96,1.0,180.0,0.0,0.0,0.0,180.0,153.0,7.56,4.05,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,1.0,8.0,1.0,50.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
io1.log,sdc,2,361.0,6420.0,0.0,0.0,3.29,17.78,570.0,19680.0,368.0,39.23,3.08,34.53,0.0,0.0,0.0,0.0,0.0,0.0,256.0,4.65,4.13,101.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
io1.log,sdc,2,557.0,10008.0,0.0,0.0,1.7,17.97,934.0,33440.0,558.0,37.4,1.88,35.8,1.0,3160.0,1.0,50.0,0.0,3160.0,418.0,2.93,3.92,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,2.0,8.0,0.0,0.0,1.5,4.0,1.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.0
io1.log,sdc,2,503.0,8804.0,0.0,0.0,1.5,17.5,1091.0,38844.0,580.0,34.71,1.82,35.6,1.0,372.0,0.0,0.0,0.0,372.0,490.0,2.62,4.02,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,2.0,24.0,4.0,66.67,1.0,12.0,2.0,8.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
